RankRank,Player NamePlayer,TeamTeam,SuccessfulSuccessful,ErrorsSE,AttemptsAttempts,Average per matchaverage-per-match,Success %Success %,TotalTA
49,HOYOUNG,KOR,0,0,37,0.0,0.0,37
49,SUJIN,KOR,0,0,16,0.0,0.0,16
49,Jiyun M.,KOR,0,0,14,0.0,0.0,14
49,SOHWI,KOR,0,0,41,0.0,0.0,41
49,Cesar,GER,0,0,17,0.0,0.0,17
49,Stautz,GER,0,0,7,0.0,0.0,7
49,Tabacuks,GER,0,0,1,0.0,0.0,1
49,Schölzel,GER,0,1,9,0.0,0.0,10
49,Grozer,GER,0,0,8,0.0,0.0,8
49,Kindermann,GER,0,2,14,0.0,0.0,16
49,Weitzel,GER,0,0,24,0.0,0.0,24
49,Strubbe,GER,0,0,4,0.0,0.0,4
49,White,CAN,0,0,10,0.0,0.0,10
49,Borowski,CAN,0,0,4,0.0,0.0,4
49,Çürük,TUR,0,0,0,,,0
49,K.Kuttika,THA,0,0,0,,,0
49,Wang A. Q.,CHN,0,0,4,0.0,0.0,4
49,Pezelj,FRA,0,0,1,0.0,0.0,1
49,Lanna,BRA,0,0,0,,,0
49,Tamaki,JPN,0,0,0,,,0
49,K.Kalyarat,THA,0,0,29,0.0,0.0,29
49,Nonaka,JPN,0,0,0,,,0
49,Marinova,BUL,0,0,12,0.0,0.0,12
49,Sartori,ITA,0,0,0,,,0
49,Nervini,ITA,0,0,12,0.0,0.0,12
49,Nishizaki,JPN,0,0,12,0.0,0.0,12
49,Georgiadis,CAN,0,0,36,0.0,0.0,36
49,Giardino,FRA,0,0,5,0.0,0.0,5
49,Gicquel,FRA,0,0,2,0.0,0.0,2
49,Jatzko,GER,0,0,3,0.0,0.0,3
49,Schut,NED,0,0,0,,,0
49,Wessels,NED,0,0,0,,,0
49,Piasecka,POL,0,1,10,0.0,0.0,11
49,Centka-Tietianiec,POL,0,0,3,0.0,0.0,3
49,Jurczyk,POL,0,0,10,0.0,0.0,10
49,Güneş,TUR,0,1,12,0.0,0.0,13
49,Karakurt,TUR,0,0,10,0.0,0.0,10
49,Čajić,SRB,0,0,1,0.0,0.0,1
49,Tica,SRB,0,0,5,0.0,0.0,5
49,Butler,USA,0,1,5,0.0,0.0,6
49,Rettke,USA,0,0,7,0.0,0.0,7
49,Milenković,SRB,0,0,5,0.0,0.0,5
49,Kawabata,JPN,0,0,8,0.0,0.0,8
49,Kitamado,JPN,0,0,6,0.0,0.0,6
49,K.Kanyarat,THA,0,0,0,,,0
49,Pavlova,CZE,0,0,0,,,0
49,Kolarova,CZE,0,0,2,0.0,0.0,2
49,Rejmanova,CZE,0,0,1,0.0,0.0,1
49,Bošković,SRB,0,0,11,0.0,0.0,11
49,Gray,ITA,0,0,0,,,0
49,Bertels,BEL,0,0,1,0.0,0.0,1
49,Stigrot,GER,0,0,8,0.0,0.0,8
49,Kisal,TUR,0,0,6,0.0,0.0,6
49,Terrero,DOM,0,2,2,0.0,0.0,4
49,Heredia,DOM,0,0,8,0.0,0.0,8
49,Fan B. N.,CHN,0,0,3,0.0,0.0,3
49,Cuttino,USA,0,1,4,0.0,0.0,5
49,Jimerson,USA,0,1,3,0.0,0.0,4
49,Samedy,USA,0,0,6,0.0,0.0,6
49,Nikolova,BUL,0,0,0,,,0
49,Kisy,BRA,0,0,0,,,0
49,Hamming,NED,0,0,1,0.0,0.0,1
49,Mims,USA,0,1,1,0.0,0.0,2
49,Lanier,USA,0,0,0,,,0
